Farm_ID,District,Crop
F001,Davanagere,Rice
F002,Davanagere,Rice
F003,Davanagere,Rice
F004,Davanagere,Sugarcane
F005,Davanagere,Sugarcane
F006,Davanagere,Sugarcane
F007,Davanagere,Maize
F008,Davanagere,Maize
F009,Davanagere,Maize
F010,Davanagere,Wheat
F011,Davanagere,Wheat
F012,Davanagere,Wheat
F013,Ballari,Rice
F014,Ballari,Rice
F015,Ballari,Rice
F016,Ballari,Sugarcane
F017,Ballari,Sugarcane
F018,Ballari,Sugarcane
F019,Ballari,Maize
F020,Ballari,Maize
F021,Ballari,Maize
F022,Ballari,Wheat
F023,Ballari,Wheat
F024,Ballari,Wheat
F025,Mysuru,Rice
F026,Mysuru,Rice
F027,Mysuru,Rice
F028,Mysuru,Sugarcane
F029,Mysuru,Sugarcane
F030,Mysuru,Sugarcane
F031,Mysuru,Maize
F032,Mysuru,Maize
F033,Mysuru,Maize
F034,Mysuru,Wheat
F035,Mysuru,Wheat
F036,Mysuru,Wheat
F037,Mandya,Rice
F038,Mandya,Rice
F039,Mandya,Rice
F040,Mandya,Sugarcane
F041,Mandya,Sugarcane
F042,Mandya,Sugarcane
F043,Mandya,Maize
F044,Mandya,Maize
F045,Mandya,Maize
F046,Mandya,Wheat
F047,Mandya,Wheat
F048,Mandya,Wheat
F049,Belagavi,Rice
F050,Belagavi,Rice
F051,Belagavi,Rice
F052,Belagavi,Sugarcane
F053,Belagavi,Sugarcane
F054,Belagavi,Sugarcane
F055,Belagavi,Maize
F056,Belagavi,Maize
F057,Belagavi,Maize
F058,Belagavi,Wheat
F059,Belagavi,Wheat
F060,Belagavi,Wheat
