Farm_ID,District,Crop,N,P,K,Moisture,pH,Temperature,Humidity,NDVI
F001,Davanagere,Rice,54,47,70,57,5.7,34,89,0.89
F001,Davanagere,Rice,77,26,56,76,6.3,34,76,0.74
F001,Davanagere,Rice,67,35,63,55,6.9,34,70,0.87
F001,Davanagere,Rice,75,37,69,77,5.6,30,84,0.85
F001,Davanagere,Rice,51,40,51,73,5.6,29,88,0.76
F002,Davanagere,Rice,71,34,65,67,6.4,26,88,0.79
F002,Davanagere,Rice,51,32,67,69,6.4,30,90,0.89
F002,Davanagere,Rice,58,36,59,72,6.6,29,90,0.7
F002,Davanagere,Rice,78,38,40,59,5.7,35,75,0.77
F002,Davanagere,Rice,73,40,45,66,5.5,28,90,0.81
F003,Davanagere,Rice,67,34,45,60,6.2,30,79,0.78
F003,Davanagere,Rice,67,48,51,65,6.3,31,89,0.7
F003,Davanagere,Rice,47,34,65,60,6.5,33,70,0.78
F003,Davanagere,Rice,61,46,69,77,6.8,29,76,0.76
F003,Davanagere,Rice,59,44,47,75,6.5,29,79,0.76
F004,Davanagere,Sugarcane,76,58,62,83,6.1,27,81,0.77
F004,Davanagere,Sugarcane,76,35,69,72,6.5,32,67,0.8
F004,Davanagere,Sugarcane,62,47,60,78,6.6,32,85,0.78
F004,Davanagere,Sugarcane,60,56,73,70,6.4,37,72,0.9
F004,Davanagere,Sugarcane,72,32,62,77,6.3,27,76,0.9
F005,Davanagere,Sugarcane,64,52,55,84,7.4,34,70,0.87
F005,Davanagere,Sugarcane,66,53,50,80,7.4,27,78,0.87
F005,Davanagere,Sugarcane,96,44,79,68,6.4,28,73,0.82
F005,Davanagere,Sugarcane,99,55,75,75,6.0,28,79,0.76
F005,Davanagere,Sugarcane,100,34,61,76,6.6,35,79,0.77
F006,Davanagere,Sugarcane,75,58,50,84,7.0,29,82,0.87
F006,Davanagere,Sugarcane,73,31,73,75,6.4,33,74,0.86
F006,Davanagere,Sugarcane,95,45,71,83,6.7,35,67,0.9
F006,Davanagere,Sugarcane,94,41,81,77,6.0,33,70,0.78
F006,Davanagere,Sugarcane,90,41,53,71,7.1,35,74,0.81
F007,Davanagere,Maize,80,34,63,68,6.0,31,59,0.76
F007,Davanagere,Maize,60,29,54,54,6.9,20,57,0.76
F007,Davanagere,Maize,66,42,49,45,6.3,28,63,0.83
F007,Davanagere,Maize,60,37,49,66,7.0,28,71,0.75
F007,Davanagere,Maize,78,35,50,45,7.0,27,59,0.76
F008,Davanagere,Maize,61,29,64,55,6.0,24,64,0.71
F008,Davanagere,Maize,75,45,43,64,5.8,29,57,0.84
F008,Davanagere,Maize,51,38,65,64,6.3,30,68,0.72
F008,Davanagere,Maize,50,32,41,56,6.2,27,64,0.72
F008,Davanagere,Maize,57,41,50,69,6.9,20,56,0.77
F009,Davanagere,Maize,66,25,41,55,7.1,23,74,0.8
F009,Davanagere,Maize,58,29,62,46,6.1,28,66,0.74
F009,Davanagere,Maize,76,34,52,57,5.9,29,55,0.83
F009,Davanagere,Maize,54,31,52,48,6.7,27,66,0.81
F009,Davanagere,Maize,76,44,55,63,6.5,27,71,0.71
F010,Davanagere,Wheat,50,32,43,44,6.5,17,72,0.68
F010,Davanagere,Wheat,48,24,54,62,7.2,23,60,0.63
F010,Davanagere,Wheat,56,39,51,56,6.6,19,58,0.72
F010,Davanagere,Wheat,68,24,45,47,6.7,27,73,0.78
F010,Davanagere,Wheat,58,36,46,52,6.4,27,67,0.65
F011,Davanagere,Wheat,66,29,43,41,6.3,28,51,0.81
F011,Davanagere,Wheat,62,20,57,47,6.8,26,72,0.77
F011,Davanagere,Wheat,42,34,35,57,6.8,27,68,0.75
F011,Davanagere,Wheat,43,31,45,48,6.6,16,55,0.66
F011,Davanagere,Wheat,56,31,59,42,6.1,20,72,0.79
F012,Davanagere,Wheat,44,34,49,62,7.3,22,63,0.71
F012,Davanagere,Wheat,62,26,39,59,6.5,20,73,0.74
F012,Davanagere,Wheat,42,21,53,58,7.0,22,52,0.76
F012,Davanagere,Wheat,50,30,54,50,6.9,15,63,0.79
F012,Davanagere,Wheat,59,40,38,60,6.2,18,72,0.76
F013,Ballari,Rice,74,48,61,75,6.0,32,86,0.78
F013,Ballari,Rice,46,31,46,75,6.4,31,83,0.78
F013,Ballari,Rice,59,31,65,59,6.6,31,80,0.86
F013,Ballari,Rice,68,44,53,55,5.8,30,74,0.8
F013,Ballari,Rice,67,39,70,58,7.0,33,73,0.81
F014,Ballari,Rice,54,49,47,55,6.1,32,86,0.74
F014,Ballari,Rice,63,31,60,76,7.0,32,84,0.75
F014,Ballari,Rice,62,43,54,57,6.5,31,72,0.71
F014,Ballari,Rice,64,46,63,78,5.8,31,84,0.84
F014,Ballari,Rice,73,34,58,68,5.5,29,88,0.79
F015,Ballari,Rice,49,41,52,80,6.4,32,84,0.73
F015,Ballari,Rice,79,45,47,55,5.6,35,89,0.89
F015,Ballari,Rice,71,25,48,58,6.0,33,90,0.89
F015,Ballari,Rice,63,46,42,64,7.0,31,85,0.86
F015,Ballari,Rice,72,49,46,75,6.6,34,74,0.85
F016,Ballari,Sugarcane,82,38,69,62,6.9,28,73,0.79
F016,Ballari,Sugarcane,66,49,54,83,6.1,35,66,0.9
F016,Ballari,Sugarcane,91,37,90,63,6.3,29,65,0.83
F016,Ballari,Sugarcane,95,33,73,65,6.3,33,73,0.81
